num__Survived,num__Pclass,num__Age,num__Siblings/Spouses Aboard,num__Parents/Children Aboard,num__Fare,cat__Sex_female,cat__Sex_male
0.0,0.0,-0.3380281690140845,1.0,0.0,-0.31035864297253635,0.0,1.0
1.0,-2.0,0.5633802816901409,1.0,0.0,2.4482110931610124,1.0,0.0
1.0,0.0,-0.11267605633802817,0.0,0.0,-0.2812794830371567,1.0,0.0
1.0,-2.0,0.39436619718309857,1.0,0.0,1.6648702207862145,1.0,0.0
0.0,0.0,0.39436619718309857,0.0,0.0,-0.2758944534194938,0.0,1.0
0.0,0.0,-0.056338028169014086,0.0,0.0,-0.25830479267635975,0.0,1.0
0.0,-2.0,1.4647887323943662,0.0,0.0,1.6115584275713517,0.0,1.0
0.0,0.0,-1.4647887323943662,3.0,1.0,0.28522563274098006,0.0,1.0
1.0,0.0,-0.056338028169014086,0.0,2.0,-0.14306515885837373,1.0,0.0
1.0,-1.0,-0.7887323943661971,1.0,0.0,0.6727668282175552,1.0,0.0
1.0,0.0,-1.352112676056338,1.0,1.0,0.09674959612277864,1.0,0.0
1.0,-2.0,1.6901408450704225,0.0,0.0,0.521089929994615,1.0,0.0
0.0,0.0,-0.4507042253521127,0.0,0.0,-0.2758944534194938,0.0,1.0
0.0,0.0,0.6197183098591549,1.0,5.0,0.7246440495422725,0.0,1.0
0.0,0.0,-0.7887323943661971,0.0,0.0,-0.284329563812601,1.0,0.0
1.0,-1.0,1.5211267605633803,0.0,0.0,0.06659343026386645,1.0,0.0
0.0,0.0,-1.4647887323943662,4.0,1.0,0.6320215401184707,0.0,1.0
1.0,-1.0,-0.28169014084507044,0.0,0.0,-0.0626472805600431,0.0,1.0
0.0,0.0,0.16901408450704225,1.0,0.0,0.1527539041464728,1.0,0.0
1.0,0.0,-0.3380281690140845,0.0,0.0,-0.31143564889606895,1.0,0.0
0.0,-1.0,0.39436619718309857,0.0,0.0,0.49739579967689823,0.0,1.0
1.0,-1.0,0.3380281690140845,0.0,0.0,-0.0626472805600431,0.0,1.0
1.0,0.0,-0.7323943661971831,0.0,0.0,-0.27679052234787294,1.0,0.0
1.0,-2.0,0.0,0.0,0.0,0.9066580506192784,0.0,1.0
0.0,0.0,-1.1267605633802817,3.0,1.0,0.28522563274098006,1.0,0.0
1.0,0.0,0.5633802816901409,1.0,5.0,0.7294905761981691,1.0,0.0
0.0,0.0,-0.11267605633802817,0.0,0.0,-0.31143564889606895,0.0,1.0
0.0,-2.0,-0.5070422535211268,3.0,2.0,10.707411954765751,0.0,1.0
1.0,0.0,-0.22535211267605634,0.0,0.0,-0.2832525578890684,1.0,0.0
0.0,0.0,-0.28169014084507044,0.0,0.0,-0.28253742595584275,0.0,1.0
0.0,-2.0,0.676056338028169,0.0,0.0,0.5715282714054928,0.0,1.0
1.0,-2.0,1.1267605633802817,1.0,0.0,5.689460420032311,1.0,0.0
1.0,0.0,-0.5633802816901409,0.0,0.0,-0.2888185245018848,1.0,0.0
0.0,-1.0,2.140845070422535,0.0,0.0,-0.17034787291330103,0.0,1.0
0.0,-2.0,0.0,1.0,0.0,2.917247172859451,0.0,1.0
0.0,-2.0,0.7887323943661971,1.0,0.0,1.6174819601507808,0.0,1.0
1.0,0.0,-0.5633802816901409,0.0,0.0,-0.31125471190091547,0.0,1.0
0.0,0.0,-0.39436619718309857,0.0,0.0,-0.2758944534194938,0.0,1.0
0.0,0.0,-0.5633802816901409,2.0,0.0,0.1527539041464728,1.0,0.0
1.0,0.0,-0.7887323943661971,1.0,0.0,-0.13839526117393647,1.0,0.0
0.0,0.0,0.676056338028169,1.0,0.0,-0.2145051157781368,1.0,0.0
0.0,-1.0,-0.056338028169014086,1.0,0.0,0.28199461497038236,1.0,0.0
1.0,-1.0,-1.408450704225352,1.0,2.0,1.1685514270328488,1.0,0.0
1.0,0.0,-0.5070422535211268,0.0,0.0,-0.2832525578890684,1.0,0.0
