PC_1,PC_2,target
1.4137438160066473,-0.02432521100728852,0
0.8313817959534203,-0.8488141568794775,0
1.1723482567733459,-0.6459577455988896,0
1.0507227397547447,-0.8216467305143215,0
1.5778365860858468,0.08080849077544017,0
1.7368893888458896,0.754610983327496,0
1.4253478715032908,-0.3669167292019846,0
1.3048992196495712,-0.20742518820758982,0
0.8713763090251685,-1.2100796617695315,0
0.9770695557543747,-0.7122548156560169,0
1.5590756995443982,0.4067963540991426,0
1.3601473933716954,-0.28539146362516266,0
0.8937868007203492,-0.910176777426057,0
1.102202298664048,-1.145852923536769,0
1.8515949414238004,0.9987849195512664,0
2.3107987030303425,1.6069665784811684,0
1.7880130714919902,0.7249670141880191,0
1.385353358431543,-0.005651224311930599,0
1.533157981958145,0.7161805625518508,0
1.7628071064321431,0.445226774874787,0
1.143279189559222,-0.021848668232967647,0
1.6043384259696647,0.31607842593619623,0
1.7650184574992462,-0.11959001376892062,0
1.0300732355220088,-0.24171494533450547,0
1.32180463138712,-0.2631584867705551,0
0.7718054074385456,-0.7913035384585182,0
1.2353373838378379,-0.1626662225320041,0
1.3669483481532974,0.02577441512880167,0
1.2496510459274472,-0.12945891279001717,0
1.1340054947887697,-0.6237247687442817,0
0.9699127247095702,-0.7288584705270107,0
1.1120601157320644,0.0006773205880104108,0
2.1758081430526515,0.8940344422371395,0
2.1882331874509746,1.1811856738352409,0
0.9486790981792705,-0.6935808289606588,0
1.0830855358593967,-0.5253028363300958,0
1.2904665479008737,0.13901833211272596,0
1.6402415908527752,0.01944587022886106,0
1.0142354525740689,-1.0696683184204512,0
1.2708846724577467,-0.164736554356369,0
1.4321488262848927,-0.05575085044802034,0
0.041282887595514066,-2.043062047311518,0
1.2743918983488194,-0.7740236471525522,0
1.3086346915750051,0.022504086492661942,0
1.6832929662109384,0.49354473070962207,0
0.8370058855701411,-0.8728288040353405,0
1.778416643345722,0.433963780464298,0
1.1935818833036453,-0.6812353871652412,0
1.5930902467362231,0.36410772024792143,0
1.1876019174237211,-0.36265851612640854,0
-0.3852231220317254,0.8119424110090434,1
-0.18396445513283147,0.559662610027338,1
-0.5352390966254307,0.65492741278897,1
-0.9278520179349524,-1.2293390501542583,1
-0.751072814535682,0.01847289362762978,1
-0.40939460118935184,-0.3677951428577233,1
-0.07382398395178653,0.6982922830751623,1
